sigma,mu,mean_0,mean_1,count_0,count_1
0.1,0,321.3,336.8,0,0
0.3,0,584.75,315.6667,59,18
0.2,0,552.3684,336.5789,0,0
0.5,0,452.1351,492.6216,1616,670
0.4,0,339.3929,601.25,279,4
0.7,0,515.7736,460.6038,11086,11818
0.9,0,487,494.5085,27088,26544
0.6,0,568.7209,390.6744,9,1250
0.5,0.2,489.67,505.4,1046,897
0.7,0.2,498.66,498.79,35769,36486
0.5,0.1,454.55,540.47,976,721
0.3,0.1,507.72,480.59,164,196
0.7,0.1,496.99,500.63,40605,40995
0.3,0.2,524.43,462.86,2925,1153
0.1,0.3,387.92,438.86,499,500
0.1,0.1,404.25,428.84,90,112
0.9,0.1,501.91,497,45707,45112
0.9,0.2,495.19,503.64,42277,42808
0.1,0.2,409.25,432.39,392,385
0.8,0,496.463,481.7963,12691,13519
1,0,488.3788,495.197,30540,30076
0.3,0.3,512.87,472.49,1801,1105
0.5,0.3,497.05,497.94,1420,822
0.7,0.3,500.95,496.57,38679,38400
0.8,0.2,495.16,503.26,43593,44036
0.6,0.2,494.91,501.46,2193,1411
0.6,0.1,503.12,493.45,16441,15806
0.4,0.1,500.18,492.92,551,433
0.4,0.2,483.51,509.34,357,913
0.8,0.1,495.93,502.21,43853,44393
1,0.2,503.74,495.59,41670,41123
0.2,0.1,460.93,511.87,509,262
0.2,0.3,490.56,470.32,1006,499
0.2,0.2,470.78,496.14,223,320
1,0.1,497.25,502.06,46995,47468
0.9,0.3,499.68,499.15,44635,44098
0.1,0.4,426.13,387.81,645,722
0.4,0.3,504.99,487.13,1487,1276
0.6,0.3,489.47,507.12,588,590
0.8,0.3,500.25,498.22,42450,42054
0.9,0.4,497.36,501.57,44136,44681
0.3,0.4,495.35,489.36,1329,1231
0.5,0.4,506.53,488.44,1226,1517
0.7,0.4,494.15,503.28,31008,31355
0.1,0.5,406.15,387.05,694,595
0.5,0.5,486.03,508.93,2605,3499
0.3,0.5,493.88,487.95,824,849
0.7,0.5,502.13,495.37,40896,40486
0.9,0.5,497.98,500.97,42472,42922
0.1,0.6,380.66,388.24,668,581
1,0.3,502.35,497.11,46559,46054
0.3,0.6,493.6,486.05,1024,1242
0.2,0.4,483.31,473.72,1649,1727
0.5,0.6,508.52,486.04,2915,2583
0.7,0.6,508.81,488.82,29257,28615
0.9,0.6,496.91,502.02,46101,46605
1,0.4,497.47,501.84,45192,45655
0.8,0.4,504.37,493.94,42427,41823
0.4,0.4,483.39,508.43,1487,1746
0.6,0.4,485.38,510.91,1359,1504
0.6,0.5,496.39,500.01,1983,2026
0.4,0.5,488.64,502.76,1132,1108
1,0.5,495.1,504.12,43992,44487
0.2,0.5,464.27,485.51,1450,2386
0.8,0.5,497.01,501.36,43295,43860
0.1,0.7,361.55,386.89,756,966
0.4,0.6,513.68,477.6,2568,1597
0.2,0.6,470.55,472.74,1026,1630
0.3,0.7,502.85,476.94,2685,2108
0.6,0.6,509.1,487.22,2714,2198
0.8,0.6,501.09,497.01,42363,41930
1,0.6,501.53,497.79,43037,42548
0.7,0.7,502.55,494.68,2596,2427
0.5,0.7,504.74,489.4,3089,2570
0.9,0.7,497.9,500.85,44980,45506
0.9,0.8,501.44,497.47,46516,46039
0.7,0.8,500.88,496.43,40497,39897
0.1,0.8,362.86,368.03,1856,1738
0.3,0.8,482,494.81,1670,1861
0.5,0.8,505.83,488.66,4305,3581
0.1,0.9,365.64,331.8,1262,1114
0.2,0.7,475.65,457.11,1270,1378
0.3,0.9,491.28,483.01,1812,1911
0.5,0.9,485.99,508.44,2404,2618
0.7,0.9,498.28,499.16,40009,40464
0.4,0.7,490.07,500.32,3553,3824
0.9,0.9,496.14,502.63,44698,45213
0.6,0.7,497.65,498.63,3499,3302
0.2,0.8,478.62,452.45,1929,1502
1,0.7,501.98,497.41,46914,46426
0.8,0.8,496.92,501.04,43340,43900
1,0.8,496.15,503.04,45823,46371
0.4,0.8,495.64,494.96,3083,3123
0.4,0.9,479.61,510.1,2660,3243
0.8,0.7,502.23,495.82,45041,44592
0.6,0.8,485.9,510.19,3185,3393
0.2,0.9,454.55,466.09,1844,2026
0.6,0.9,493.25,503.22,27026,27699
0.8,0.9,498.53,499.45,43595,44027
1,0.9,497.39,501.79,46723,47264
