speed,mu,mean_0,mean_1,count_0,count_1
0.32,0,173.75,189.25,0,0
0.24,0,242.4,184.2,6,3
0.36,0,123.5,163.5,1,0
0.16,0,293.4286,237,4,0
0.28,0,160,163.2,0,0
0.2,0,272.6667,212,7,2
0.08,0,343,428.3333,0,2
0.12,0,306.125,382.375,0,5
0.32,0.1,72.49,24.75,1351,246
0.24,0.1,130.11,105.98,252,276
0.32,0.2,105.06,16.49,1063,700
0.24,0.2,245.25,46.01,1763,254
0.16,0.1,412.82,91.36,320,1144
0.16,0.2,431.52,134.86,1301,436
0,0,482.25,509.26,0,6
0,0.1,488.99,499.69,192,229
0,0.2,495.44,489.55,408,333
0,0.3,484.99,495.41,874,824
0.08,0.1,479.82,415.58,351,166
0.36,0.1,47,109.8,27,17
0.08,0.2,479.4,437.21,329,194
0.24,0.3,169.13,167.24,2404,1725
0.08,0.3,457.39,462.76,561,933
0.16,0.3,329.78,297.43,1086,406
0.32,0.3,18.06,135.98,983,312
0.04,0,508.4762,394.5714,0,3
0.28,0.1,57.87,104.98,446,115
0.36,0.2,22.17,58.16,584,404
0.28,0.2,137.28,38.4,4962,1178
0.2,0.1,125.1,223.02,1982,199
0.2,0.2,131.09,280.62,1049,815
0.04,0.1,484.4,497.08,154,320
0.28,0.3,148.15,82.62,1126,735
0.12,0.1,181.2,500.81,325,624
0.04,0.2,490.83,484.53,446,606
0.04,0.3,492.66,476.74,1191,776
0.12,0.2,424.24,334.3,861,618
0,0.4,487.79,488.39,686,730
0.2,0.3,161.82,305.83,723,1000
0.36,0.3,78.01,23.02,1216,966
0.12,0.3,407.77,388.64,1282,891
0.08,0.4,497.18,423.62,2321,959
0.24,0.4,158.97,208.56,719,1641
0.32,0.4,85.21,96.67,1755,160
0.16,0.4,211.38,429.19,948,1010
0,0.5,483.32,486.85,733,692
0.32,0.5,141.09,60.65,1364,2798
0.08,0.5,471.48,437.82,662,744
0.24,0.5,214.63,190.97,1106,915
0.16,0.5,347.09,326.61,989,1300
0.32,0.6,69.21,166.15,4061,1017
0.24,0.6,123.26,296.91,1265,2650
0.16,0.6,342.72,339.55,930,1096
0,0.6,486.2,479.17,1433,1555
0.08,0.6,448.9,459.16,1334,1799
0.04,0.4,473.91,487.46,654,536
0,0.7,477.87,482.83,1738,1581
0.12,0.4,394.46,417.47,1044,1723
0.28,0.4,166.37,104.81,646,2884
0.36,0.4,74.48,56.87,308,1604
0.2,0.4,218,276.37,810,916
0.36,0.5,125.92,17.16,870,1266
0.28,0.5,93.62,194.4,1364,1727
0.36,0.6,20.29,135.32,1527,3675
0.04,0.5,485.27,470.28,1276,1294
0.2,0.5,331.02,187.85,1372,1203
0.28,0.6,239.12,73.53,3746,1191
0.12,0.5,375.86,442.55,1236,1986
0.2,0.6,286.84,277.34,2842,2549
0.12,0.6,395.32,419.85,1499,1671
0.04,0.6,472.77,475.28,884,884
0.08,0.7,466.18,435.06,1674,1743
0.04,0.7,457.37,487.52,2477,2865
0.16,0.7,369.2,338.71,3300,1923
0.32,0.7,57.86,170.18,1553,1524
0.24,0.7,179.52,278.32,1105,4767
0,0.8,474.1,479.08,1451,1360
0.24,0.8,244.3,220.12,1992,2541
0.16,0.9,347.86,355.78,1278,2274
0.08,0.8,432.25,464.52,2288,2758
0.16,0.8,341.57,367.57,1493,1870
0.08,0.9,456.54,436.88,3368,2780
0.32,0.8,163.4,98.99,2824,4081
0.24,0.9,210.63,278.45,2908,2508
0,0.9,470.09,476.34,2407,2282
0.32,0.9,121.05,157.25,4499,2175
0.12,0.7,416.92,398.87,1071,1482
0.2,0.7,301.74,271.16,2795,2744
0.36,0.7,57.77,109.15,1542,742
0.04,0.8,455.93,480.54,1674,1854
0.28,0.8,189.96,160.99,2276,952
0.28,0.7,124.29,213.33,1455,1214
0.2,0.9,287.38,322.06,2026,3778
0.36,0.8,72.94,118.89,1507,2936
0.28,0.9,101.36,261.65,2087,3852
0.12,0.8,420.47,399.01,2803,1827
0.36,0.9,112.53,89.63,2825,3111
0.12,0.9,415.4,407.94,1756,2732
0.2,0.8,297.71,288.37,1307,1916
0.04,0.9,469.37,462.07,2531,2248
